client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,fit_duration,num_params
client_9,5.946763330378008,0.09090909090909091,13,3.3846153846153846,2.558198330510137,2.4203104972839355,0.3333333333333333,client_9,10,3,0.01,0.019066333770751953,109381
client_0,0.07138007585415483,0.13793103448275862,47,2.4680851063829787,5.782773625282901,0.6397544145584106,0.4,client_0,37,3,0.01,0.021113157272338867,109381
client_7,2.4471130540376205,0.0,14,2.2857142857142856,1.1605769149479945,3.6016342639923096,0.6666666666666666,client_7,11,3,0.01,0.02309131622314453,109381
client_1,5.027676244910159,0.3888888888888889,33,3.272727272727273,2.5017899927939746,0.1480373591184616,0.2857142857142857,client_1,26,3,0.01,0.022577524185180664,109381
client_3,0.1123685419640091,0.25806451612903225,22,2.8181818181818183,2.1874926210029026,2.591097354888916,0.6,client_3,17,3,0.01,0.02308797836303711,109381
client_8,6.609389814175352,0.3333333333333333,13,4.153846153846154,2.475919529143243,0.8885639905929565,0.6666666666666666,client_8,10,3,0.01,0.019118547439575195,109381
client_6,5.039646426693624,0.037037037037037035,14,3.857142857142857,3.4611546970244906,0.4519910514354706,0.0,client_6,11,3,0.01,0.02105855941772461,109381
client_5,2.4283466757688257,0.0,16,4.5,3.142451272494134,1.9816575050354004,0.25,client_5,12,3,0.01,0.02308797836303711,109381
client_2,0.014815332635872043,0.23404255319148937,26,3.6153846153846154,2.9881422460853897,0.9594660997390747,0.3333333333333333,client_2,20,3,0.01,0.019120216369628906,109381
client_4,0.9389107023045722,0.10344827586206896,16,3.625,2.7128168017763383,1.5075775384902954,0.25,client_4,12,3,0.01,0.02159595489501953,109381
